@relation graduate

@attribute wei numeric
@attribute gen {female, male}
@attribute cat {no, yes}
@attribute res {Western, S.Eastern, N.Eastern, Belfast, Southern}
@attribute sch {secondary, gramma}
@attribute fue {yes, no}
@attribute gcs {yes, no}
@attribute fmp {yes, no}
@attribute lvb {yes, no}
@attribute tra numeric
@attribute emp numeric
@attribute jol numeric
@attribute fe numeric
@attribute he numeric
@attribute ascc numeric

@data
0.33,female,no,Western,secondary,no,no,yes,yes,4,68,0,0,0,0
0.57,female,no,Western,secondary,no,yes,no,yes,0,0,2,36,34,0
1.59,male,yes,Western,secondary,no,no,no,yes,24,10,4,34,0,0
1.59,female,no,Western,secondary,no,no,no,yes,49,14,9,0,0,0
0.57,male,no,Western,secondary,yes,no,no,yes,0,0,2,25,45,0
1.59,male,yes,Western,secondary,no,no,no,no,33,36,3,0,0,0
0.57,male,yes,Western,secondary,no,no,no,no,0,40,2,30,0,0
2.75,male,yes,Western,gramma,no,no,yes,yes,0,50,0,22,0,0
2,female,no,S.Eastern,secondary,no,no,no,no,21,49,2,0,0,0
3.6,female,no,S.Eastern,secondary,no,no,no,yes,0,48,14,0,0,10
0.69,male,no,S.Eastern,secondary,no,no,yes,yes,0,13,1,49,9,0
1.1,female,no,Western,secondary,no,yes,no,yes,0,27,0,9,0,36
1.1,male,yes,Western,secondary,yes,yes,yes,yes,0,12,2,0,34,24
0.57,female,yes,Western,secondary,no,yes,no,no,0,33,19,20,0,0
2,female,yes,Western,gramma,no,no,no,yes,12,8,52,0,0,0
0.87,female,yes,N.Eastern,secondary,yes,no,no,no,0,21,19,22,0,10
4.1,female,yes,Belfast,secondary,no,no,no,no,10,26,2,24,0,10
0.33,male,yes,Belfast,gramma,no,no,no,no,25,44,3,0,0,0
0.71,male,yes,Belfast,secondary,no,no,no,no,14,29,29,0,0,0
0.71,female,yes,Belfast,secondary,yes,no,no,no,10,12,50,0,0,0
0.71,female,yes,Belfast,secondary,no,no,no,no,27,20,18,7,0,0
0.71,female,no,Belfast,secondary,no,no,no,yes,14,54,4,0,0,0
0.71,male,yes,Belfast,secondary,no,no,yes,yes,20,38,2,12,0,0
4.1,female,yes,Belfast,secondary,no,yes,no,yes,0,4,12,44,0,12
0.87,female,yes,N.Eastern,secondary,no,yes,no,yes,0,6,1,10,33,22
0.23,female,yes,N.Eastern,secondary,no,no,no,yes,0,72,0,0,0,0
0.87,male,no,N.Eastern,secondary,no,yes,yes,yes,0,6,1,0,41,24
0.4,male,yes,N.Eastern,secondary,no,no,no,no,0,23,39,10,0,0
0.5,male,no,N.Eastern,gramma,yes,no,no,yes,26,39,7,0,0,0
0.4,male,no,N.Eastern,secondary,no,no,no,yes,0,46,0,26,0,0
3.6,female,no,S.Eastern,secondary,no,yes,yes,yes,0,23,0,0,24,25
1.31,female,no,Southern,gramma,no,yes,no,yes,0,0,2,0,45,25
1.31,male,no,Southern,gramma,no,yes,yes,yes,0,15,0,0,33,24
1.31,female,no,Southern,gramma,no,yes,yes,no,0,2,0,0,44,26
1.31,male,no,Southern,gramma,no,yes,no,yes,0,0,0,0,44,28
0.93,male,no,Southern,secondary,no,yes,no,no,0,0,1,0,45,26
0.93,female,no,Southern,secondary,yes,yes,no,yes,0,25,0,0,21,26
0.71,male,yes,Belfast,secondary,no,no,no,yes,46,9,17,0,0,0
