@relation home
@attribute claim3years {'N','Y'}
@attribute empStatus {'A','C','E','F','H','I','N','R','S','U','V'}
@attribute busUse {'N','Y'}
@attribute adBuild {'Y'}
@attribute riskRate numeric
@attribute insurSum numeric
@attribute grantYear numeric
@attribute specInsur numeric
@attribute specPrem numeric
@attribute birthYear numeric
@attribute marStatus {'A','B','C','D','M','N','O','P','S','W'}
@attribute sex {'F','M','N'}
@attribute alarm {'N','Y'}
@attribute lock {'N','Y'}
@attribute bedroom numeric
@attribute roofCon numeric
@attribute wallCon numeric
@attribute flood {'N','Y'}
@attribute unocc numeric
@attribute neigh {'N','Y'}
@attribute occStatus {'HH','LP','PH','UN','WD','WE'}
@attribute safeInstall {'N','Y'}
@attribute subside {'N','Y'}
@attribute yearBuild numeric
@attribute payment {'DD-Other','NonDD','PureDD'}
@attribute garBefore {'N','Y'}
@attribute garPost {'N','Y'}
@attribute keyBefore {'N','Y'}
@attribute keyAfter {'N','Y'}
@attribute lastPrem numeric
@attribute polStatus {'Cancelled','Lapsed','Live','Unknown'}
@data
'N','R','N','Y',10,1000000,6,0,0,1913,'P','F','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1920,'PureDD','N','N','N','N',244.99,'Live'
'N','R','N','Y',6,1000000,6,0,0,1915,'P','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',269.82,'Live'
'N','R','N','Y',0,1000000,7,0,0,1922,'M','M','N','Y',4,11,15,'Y',30,'N','PH','N','N',1990,'NonDD','N','N','N','N',194.37,'Live'
'N','R','N','Y',6,1000000,6,2370,14.64,1923,'O','F','N','Y',3,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','Y','Y','N','N',202.55,'Live'
'N','R','N','Y',2,1000000,5,0,0,1923,'O','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','Y','Y','Y','Y',153.96,'Live'
'N','R','N','Y',9,1000000,6,0,0,1923,'O','F','N','N',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',132.58,'Live'
'N','R','N','Y',0,1000000,6,0,0,1924,'M','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',283.27,'Live'
'N','R','N','Y',10,1000000,6,0,0,1924,'P','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',248.22,'Live'
'N','R','N','Y',12,1000000,6,0,0,1926,'P','M','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',167.67,'Live'
'N','R','N','Y',8,1000000,6,0,0,1926,'P','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',166.58,'Live'
'N','R','N','Y',10,1000000,6,0,0,1926,'O','F','N','N',3,11,15,'Y',30,'N','PH','N','N',1946,'NonDD','N','N','N','N',151.01,'Live'
'N','R','N','Y',4,1000000,7,0,0,1928,'M','M','N','Y',3,11,15,'Y',30,'Y','PH','N','N',1960,'NonDD','N','N','N','N',149.46,'Live'
'N','R','N','Y',6,1000000,6,0,0,1928,'D','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',280.16,'Lapsed'
'N','R','N','Y',32,1000000,6,0,0,1928,'P','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',312.9,'Live'
'N','R','N','Y',0,1000000,6,0,0,1929,'M','M','Y','N',4,11,15,'Y',30,'Y','PH','N','N',1946,'NonDD','N','N','N','N',195.95,'Live'
'N','R','N','Y',7,1000000,6,0,0,1929,'P','F','N','N',4,11,15,'Y',0,'Y','PH','N','N',1980,'PureDD','N','N','N','N',232.71,'Live'
'N','R','N','Y',3,1000000,6,0,0,1929,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',142.27,'Lapsed'
'N','R','N','Y',26,1000000,6,0,0,1929,'W','M','N','Y',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',190.13,'Live'
'N','R','N','Y',6,1000000,6,0,0,1930,'P','F','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','Y','Y',187.73,'Live'
