@relation home
@attribute claim3years {'N','Y'}
@attribute empStatus {'A','C','E','F','H','I','N','R','S','U','V'}
@attribute busUse {'N','Y'}
@attribute adBuild {'Y'}
@attribute riskRate numeric
@attribute insurSum numeric
@attribute grantYear numeric
@attribute specInsur numeric
@attribute specPrem numeric
@attribute birthYear numeric
@attribute marStatus {'A','B','C','D','M','N','O','P','S','W'}
@attribute sex {'F','M','N'}
@attribute alarm {'N','Y'}
@attribute lock {'N','Y'}
@attribute bedroom numeric
@attribute roofCon numeric
@attribute wallCon numeric
@attribute flood {'N','Y'}
@attribute unocc numeric
@attribute neigh {'N','Y'}
@attribute occStatus {'HH','LP','PH','UN','WD','WE'}
@attribute safeInstall {'N','Y'}
@attribute subside {'N','Y'}
@attribute yearBuild numeric
@attribute payment {'DD-Other','NonDD','PureDD'}
@attribute garBefore {'N','Y'}
@attribute garPost {'N','Y'}
@attribute keyBefore {'N','Y'}
@attribute keyAfter {'N','Y'}
@attribute lastPrem numeric
@attribute polStatus {'Cancelled','Lapsed','Live','Unknown'}
@data
'N','R','N','Y',2,1000000,6,0,0,1909,'O','F','N','N',3,11,15,'Y',0,'Y','PH','N','N',1946,'PureDD','N','N','N','N',210.44,'Live'
'N','R','N','Y',10,1000000,6,0,0,1926,'P','M','N','Y',4,11,15,'Y',0,'N','PH','N','N',2000,'NonDD','N','N','N','N',217.76,'Lapsed'
'N','R','N','Y',10,1000000,6,0,0,1926,'O','F','N','N',3,11,15,'Y',30,'N','PH','N','N',1946,'NonDD','N','N','N','N',151.01,'Live'
'N','R','N','Y',6,1000000,6,0,0,1929,'M','M','Y','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',166.53,'Lapsed'
'N','R','N','Y',8,1000000,6,0,0,1932,'P','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1946,'NonDD','N','N','N','N',216.11,'Live'
'N','R','N','Y',3,1000000,6,0,0,1932,'M','M','N','N',2,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','N','N','N','N',146.36,'Live'
'N','R','N','Y',28,1000000,6,0,0,1932,'O','M','N','N',3,11,15,'Y',0,'N','PH','N','N',1920,'NonDD','N','N','N','N',214.96,'Live'
'N','R','N','Y',18,1000000,6,0,0,1932,'O','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'PureDD','N','N','N','N',168.27,'Live'
'N','R','N','Y',3,1000000,3,1000,6.12,1933,'O','M','N','Y',3,11,15,'Y',0,'N','PH','N','N',1946,'DD-Other','N','N','N','Y',189.19,'Live'
'Y','R','N','Y',3,1000000,3,0,0,1934,'P','F','N','Y',2,11,15,'Y',0,'N','PH','N','N',1980,'PureDD','N','N','N','N',178.84,'Live'
